RegioS,NettoArbeidsparticipatie_16,Perioden
CR39  ,63.9,2018JJ00
CR39  ,64.6,2019JJ00
CR39  ,63.7,2020JJ00
CR39  ,65.2,2021JJ00
CR39  ,65.7,2022JJ00
CR39  ,66.8,2023JJ00
CR40  ,67.5,2013JJ00
CR40  ,66.0,2014JJ00
CR40  ,67.3,2015JJ00
CR40  ,68.1,2016JJ00
CR40  ,68.9,2017JJ00
CR40  ,70.6,2018JJ00
CR40  ,70.9,2019JJ00
CR40  ,70.9,2020JJ00
CR40  ,71.4,2021JJ00
CR40  ,73.4,2022JJ00
CR40  ,74.0,2023JJ00
GM1680,64.7,2013JJ00
GM1680,64.3,2014JJ00
GM1680,64.6,2015JJ00
GM1680,65.1,2016JJ00
GM1680,66.4,2017JJ00
GM1680,67.4,2018JJ00
GM1680,67.7,2019JJ00
GM1680,67.0,2020JJ00
GM1680,68.6,2021JJ00
GM1680,70.2,2022JJ00
GM1680,71.4,2023JJ00
GM0358,72.2,2013JJ00
GM0358,72.0,2014JJ00
GM0358,72.0,2015JJ00
GM0358,72.0,2016JJ00
GM0358,73.4,2017JJ00
GM0358,74.7,2018JJ00
GM0358,74.9,2019JJ00
GM0358,74.6,2020JJ00
GM0358,75.1,2021JJ00
GM0358,77.1,2022JJ00
GM0358,78.4,2023JJ00
GM0197,68.8,2013JJ00
GM0197,67.5,2014JJ00
GM0197,68.0,2015JJ00
GM0197,67.6,2016JJ00
GM0197,69.3,2017JJ00
GM0197,70.1,2018JJ00
GM0197,71.2,2019JJ00
GM0197,71.4,2020JJ00
GM0197,71.7,2021JJ00
GM0197,72.8,2022JJ00
GM0197,73.9,2023JJ00
GM0059,65.2,2013JJ00
GM0059,63.4,2014JJ00
GM0059,64.6,2015JJ00
GM0059,66.1,2016JJ00
GM0059,66.6,2017JJ00
GM0059,67.6,2018JJ00
GM0059,69.7,2019JJ00
GM0059,68.9,2020JJ00
GM0059,69.8,2021JJ00
GM0059,72.2,2022JJ00
GM0059,72.2,2023JJ00
GM0482,68.6,2013JJ00
GM0482,68.0,2014JJ00
GM0482,68.6,2015JJ00
GM0482,69.6,2016JJ00
GM0482,70.2,2017JJ00
GM0482,70.9,2018JJ00
GM0482,71.9,2019JJ00
GM0482,71.8,2020JJ00
GM0482,72.9,2021JJ00
GM0482,74.8,2022JJ00
GM0482,75.6,2023JJ00
GM0613,71.2,2013JJ00
GM0613,70.6,2014JJ00
GM0613,70.1,2015JJ00
GM0613,71.2,2016JJ00
GM0613,72.2,2017JJ00
GM0613,73.2,2018JJ00
GM0613,74.1,2019JJ00
GM0613,72.8,2020JJ00
GM0613,73.6,2021JJ00
GM0613,75.6,2022JJ00
GM0613,76.4,2023JJ00
GM0361,67.5,2013JJ00
GM0361,66.6,2014JJ00
GM0361,68.0,2015JJ00
GM0361,68.1,2016JJ00
GM0361,68.0,2017JJ00
GM0361,69.8,2018JJ00
GM0361,71.0,2019JJ00
GM0361,69.8,2020JJ00
GM0361,70.0,2021JJ00
GM0361,72.0,2022JJ00
GM0361,73.1,2023JJ00
GM0141,62.8,2013JJ00
GM0141,60.6,2014JJ00
GM0141,62.1,2015JJ00
GM0141,62.1,2016JJ00
GM0141,63.8,2017JJ00
GM0141,66.3,2018JJ00
GM0141,67.8,2019JJ00
GM0141,65.5,2020JJ00
GM0141,67.3,2021JJ00
GM0141,69.6,2022JJ00
GM0141,70.7,2023JJ00
GM0034,68.0,2013JJ00
GM0034,66.0,2014JJ00
GM0034,67.2,2015JJ00
GM0034,68.2,2016JJ00
GM0034,69.2,2017JJ00
GM0034,70.9,2018JJ00
GM0034,71.3,2019JJ00
GM0034,70.7,2020JJ00
GM0034,70.8,2021JJ00
GM0034,73.0,2022JJ00
GM0034,73.5,2023JJ00
GM0484,69.9,2013JJ00
GM0484,69.5,2014JJ00
GM0484,69.8,2015JJ00
GM0484,70.0,2016JJ00
GM0484,70.7,2017JJ00
GM0484,72.2,2018JJ00
GM0484,71.3,2019JJ00
GM0484,71.6,2020JJ00
GM0484,72.6,2021JJ00
GM0484,75.5,2022JJ00
GM0484,76.0,2023JJ00
GM1723,68.8,2013JJ00
GM1723,68.2,2014JJ00
GM1723,68.6,2015JJ00
GM1723,68.4,2016JJ00
GM1723,68.6,2017JJ00
GM1723,69.9,2018JJ00
GM1723,71.1,2019JJ00
GM1723,71.3,2020JJ00
GM1723,71.4,2021JJ00
GM1723,72.6,2022JJ00
GM1723,73.1,2023JJ00
GM1959,68.7,2013JJ00
GM1959,68.5,2014JJ00
GM1959,68.7,2015JJ00
GM1959,69.3,2016JJ00
GM1959,70.6,2017JJ00
GM1959,71.7,2018JJ00
GM1959,73.2,2019JJ00
GM1959,72.8,2020JJ00
