RegioS,JongerDan20Jaar_9,Perioden
PV24  ,67.0,2005JJ00
PV24  ,95.0,2006JJ00
PV24  ,88.0,2007JJ00
PV24  ,93.0,2008JJ00
PV24  ,89.0,2009JJ00
PV24  ,92.0,2010JJ00
PV24  ,95.0,2011JJ00
PV24  ,83.0,2012JJ00
PV24  ,54.0,2013JJ00
PV24  ,59.0,2014JJ00
PV24  ,49.0,2015JJ00
PV24  ,47.0,2016JJ00
PV24  ,41.0,2017JJ00
PV24  ,47.0,2018JJ00
PV24  ,35.0,2019JJ00
PV24  ,42.0,2020JJ00
PV24  ,32.0,2021JJ00
PV24  ,25.0,2022JJ00
PV24  ,41.0,2023JJ00
PV25  ,353.0,1988JJ00
PV25  ,340.0,1989JJ00
PV25  ,333.0,1990JJ00
PV25  ,349.0,1991JJ00
PV25  ,277.0,1992JJ00
PV25  ,253.0,1993JJ00
PV25  ,236.0,1994JJ00
PV25  ,193.0,1995JJ00
PV25  ,181.0,1996JJ00
PV25  ,170.0,1997JJ00
PV25  ,190.0,1998JJ00
PV25  ,224.0,1999JJ00
PV25  ,244.0,2000JJ00
PV25  ,247.0,2001JJ00
PV25  ,273.0,2002JJ00
PV25  ,240.0,2003JJ00
PV25  ,223.0,2004JJ00
PV25  ,205.0,2005JJ00
PV25  ,165.0,2006JJ00
PV25  ,184.0,2007JJ00
PV25  ,185.0,2008JJ00
PV25  ,198.0,2009JJ00
PV25  ,220.0,2010JJ00
PV25  ,195.0,2011JJ00
PV25  ,187.0,2012JJ00
PV25  ,147.0,2013JJ00
PV25  ,138.0,2014JJ00
PV25  ,123.0,2015JJ00
PV25  ,128.0,2016JJ00
PV25  ,92.0,2017JJ00
PV25  ,97.0,2018JJ00
PV25  ,101.0,2019JJ00
PV25  ,103.0,2020JJ00
PV25  ,73.0,2021JJ00
PV25  ,71.0,2022JJ00
PV25  ,96.0,2023JJ00
PV26  ,216.0,1988JJ00
PV26  ,242.0,1989JJ00
PV26  ,218.0,1990JJ00
PV26  ,182.0,1991JJ00
PV26  ,198.0,1992JJ00
PV26  ,152.0,1993JJ00
PV26  ,153.0,1994JJ00
PV26  ,120.0,1995JJ00
PV26  ,104.0,1996JJ00
PV26  ,97.0,1997JJ00
PV26  ,108.0,1998JJ00
PV26  ,130.0,1999JJ00
PV26  ,136.0,2000JJ00
PV26  ,150.0,2001JJ00
PV26  ,141.0,2002JJ00
PV26  ,117.0,2003JJ00
PV26  ,114.0,2004JJ00
PV26  ,117.0,2005JJ00
PV26  ,100.0,2006JJ00
PV26  ,102.0,2007JJ00
PV26  ,87.0,2008JJ00
PV26  ,87.0,2009JJ00
PV26  ,81.0,2010JJ00
PV26  ,83.0,2011JJ00
PV26  ,82.0,2012JJ00
PV26  ,76.0,2013JJ00
PV26  ,66.0,2014JJ00
PV26  ,67.0,2015JJ00
PV26  ,63.0,2016JJ00
