Regiokenmerken,LeerlingenStudenten_1,Perioden
CR19   ,21800.0,2011SJ00
CR19   ,21500.0,2012SJ00
CR19   ,21150.0,2013SJ00
CR19   ,20840.0,2014SJ00
CR19   ,21110.0,2015SJ00
CR19   ,20810.0,2016SJ00
CR19   ,20550.0,2017SJ00
CR19   ,20460.0,2018SJ00
CR19   ,20410.0,2019SJ00
CR19   ,20290.0,2020SJ00
CR19   ,20040.0,2021SJ00
CR19   ,19870.0,2022SJ00
CR19   ,19620.0,2023SJ00
CR20   ,17840.0,2011SJ00
CR20   ,17330.0,2012SJ00
CR20   ,16850.0,2013SJ00
CR20   ,16320.0,2014SJ00
CR20   ,16050.0,2015SJ00
CR20   ,15820.0,2016SJ00
CR20   ,15770.0,2017SJ00
CR20   ,15750.0,2018SJ00
CR20   ,15760.0,2019SJ00
CR20   ,15690.0,2020SJ00
CR20   ,15530.0,2021SJ00
CR20   ,15620.0,2022SJ00
CR20   ,15460.0,2023SJ00
CR21   ,20050.0,2011SJ00
CR21   ,20140.0,2012SJ00
CR21   ,20220.0,2013SJ00
CR21   ,20460.0,2014SJ00
CR21   ,20520.0,2015SJ00
CR21   ,20810.0,2016SJ00
CR21   ,20840.0,2017SJ00
CR21   ,21120.0,2018SJ00
CR21   ,20830.0,2019SJ00
CR21   ,20900.0,2020SJ00
CR21   ,20570.0,2021SJ00
CR21   ,20430.0,2022SJ00
CR21   ,20330.0,2023SJ00
CR22   ,15910.0,2011SJ00
CR22   ,15730.0,2012SJ00
CR22   ,15340.0,2013SJ00
CR22   ,15060.0,2014SJ00
CR22   ,14930.0,2015SJ00
CR22   ,14770.0,2016SJ00
CR22   ,14690.0,2017SJ00
CR22   ,14550.0,2018SJ00
CR22   ,14420.0,2019SJ00
CR22   ,14480.0,2020SJ00
CR22   ,14480.0,2021SJ00
CR22   ,14430.0,2022SJ00
CR22   ,14500.0,2023SJ00
CR23   ,109800.0,2011SJ00
CR23   ,109630.0,2012SJ00
CR23   ,109870.0,2013SJ00
CR23   ,109910.0,2014SJ00
CR23   ,109140.0,2015SJ00
CR23   ,108560.0,2016SJ00
CR23   ,107490.0,2017SJ00
CR23   ,106960.0,2018SJ00
CR23   ,106960.0,2019SJ00
CR23   ,105760.0,2020SJ00
CR23   ,103730.0,2021SJ00
CR23   ,102590.0,2022SJ00
CR23   ,103850.0,2023SJ00
CR24   ,23830.0,2011SJ00
CR24   ,23700.0,2012SJ00
CR24   ,23450.0,2013SJ00
CR24   ,23220.0,2014SJ00
CR24   ,22960.0,2015SJ00
CR24   ,22750.0,2016SJ00
CR24   ,22680.0,2017SJ00
CR24   ,22810.0,2018SJ00
CR24   ,22920.0,2019SJ00
CR24   ,23010.0,2020SJ00
CR24   ,23140.0,2021SJ00
CR24   ,23620.0,2022SJ00
CR24   ,21640.0,2023SJ00
CR25   ,37180.0,2011SJ00
CR25   ,36780.0,2012SJ00
CR25   ,36270.0,2013SJ00
CR25   ,35830.0,2014SJ00
CR25   ,35790.0,2015SJ00
CR25   ,35530.0,2016SJ00
CR25   ,35260.0,2017SJ00
CR25   ,35230.0,2018SJ00
CR25   ,34900.0,2019SJ00
CR25   ,34590.0,2020SJ00
CR25   ,34210.0,2021SJ00
CR25   ,34180.0,2022SJ00
CR25   ,33910.0,2023SJ00
CR26   ,74600.0,2011SJ00
CR26   ,74950.0,2012SJ00
CR26   ,75470.0,2013SJ00
CR26   ,75730.0,2014SJ00
CR26   ,76390.0,2015SJ00
CR26   ,76860.0,2016SJ00
CR26   ,77280.0,2017SJ00
CR26   ,77700.0,2018SJ00
CR26   ,77780.0,2019SJ00
CR26   ,77450.0,2020SJ00
CR26   ,76650.0,2021SJ00
CR26   ,76570.0,2022SJ00
CR26   ,75420.0,2023SJ00
CR27   ,18640.0,2011SJ00
CR27   ,18350.0,2012SJ00
CR27   ,18160.0,2013SJ00
CR27   ,17940.0,2014SJ00
CR27   ,17850.0,2015SJ00
CR27   ,17810.0,2016SJ00
CR27   ,17930.0,2017SJ00
CR27   ,17980.0,2018SJ00
CR27   ,18150.0,2019SJ00
CR27   ,18430.0,2020SJ00
CR27   ,18270.0,2021SJ00
CR27   ,18380.0,2022SJ00
CR27   ,18480.0,2023SJ00
CR28   ,29460.0,2011SJ00
CR28   ,28880.0,2012SJ00
CR28   ,28270.0,2013SJ00
CR28   ,27920.0,2014SJ00
CR28   ,29660.0,2015SJ00
CR28   ,29310.0,2016SJ00
CR28   ,29160.0,2017SJ00
CR28   ,29190.0,2018SJ00
CR28   ,29240.0,2019SJ00
CR28   ,29110.0,2020SJ00
CR28   ,28940.0,2021SJ00
CR28   ,28990.0,2022SJ00
CR28   ,28920.0,2023SJ00
CR29   ,127300.0,2011SJ00
CR29   ,126320.0,2012SJ00
CR29   ,125340.0,2013SJ00
CR29   ,124850.0,2014SJ00
CR29   ,122850.0,2015SJ00
CR29   ,122950.0,2016SJ00
CR29   ,122960.0,2017SJ00
CR29   ,123400.0,2018SJ00
CR29   ,123440.0,2019SJ00
CR29   ,123450.0,2020SJ00
CR29   ,122670.0,2021SJ00
CR29   ,122790.0,2022SJ00
CR29   ,122130.0,2023SJ00
CR30   ,39650.0,2011SJ00
CR30   ,38970.0,2012SJ00
CR30   ,38400.0,2013SJ00
CR30   ,37920.0,2014SJ00
CR30   ,37680.0,2015SJ00
CR30   ,37460.0,2016SJ00
CR30   ,37370.0,2017SJ00
CR30   ,37430.0,2018SJ00
CR30   ,34050.0,2019SJ00
CR30   ,33730.0,2020SJ00
CR30   ,33290.0,2021SJ00
CR30   ,33310.0,2022SJ00
CR30   ,32890.0,2023SJ00
CR31   ,8330.0,2011SJ00
CR31   ,8020.0,2012SJ00
CR31   ,7700.0,2013SJ00
CR31   ,7360.0,2014SJ00
CR31   ,7160.0,2015SJ00
CR31   ,6980.0,2016SJ00
CR31   ,6830.0,2017SJ00
CR31   ,6740.0,2018SJ00
CR31   ,6700.0,2019SJ00
CR31   ,6640.0,2020SJ00
CR31   ,6610.0,2021SJ00
CR31   ,6680.0,2022SJ00
CR31   ,6590.0,2023SJ00
CR32   ,25760.0,2011SJ00
CR32   ,25260.0,2012SJ00
CR32   ,24740.0,2013SJ00
CR32   ,24290.0,2014SJ00
CR32   ,23950.0,2015SJ00
CR32   ,23640.0,2016SJ00
CR32   ,23420.0,2017SJ00
CR32   ,23400.0,2018SJ00
CR32   ,23390.0,2019SJ00
CR32   ,23130.0,2020SJ00
CR32   ,23000.0,2021SJ00
CR32   ,23060.0,2022SJ00
CR32   ,22860.0,2023SJ00
CR33   ,54520.0,2011SJ00
CR33   ,53720.0,2012SJ00
CR33   ,52720.0,2013SJ00
CR33   ,51790.0,2014SJ00
CR33   ,51220.0,2015SJ00
CR33   ,50530.0,2016SJ00
CR33   ,50000.0,2017SJ00
CR33   ,49820.0,2018SJ00
CR33   ,49650.0,2019SJ00
CR33   ,49120.0,2020SJ00
CR33   ,48590.0,2021SJ00
CR33   ,48390.0,2022SJ00
CR33   ,48030.0,2023SJ00
CR34   ,42080.0,2011SJ00
CR34   ,41550.0,2012SJ00
CR34   ,40960.0,2013SJ00
CR34   ,40480.0,2014SJ00
CR34   ,40110.0,2015SJ00
CR34   ,39510.0,2016SJ00
CR34   ,39210.0,2017SJ00
CR34   ,38900.0,2018SJ00
CR34   ,38750.0,2019SJ00
CR34   ,38480.0,2020SJ00
CR34   ,38460.0,2021SJ00
CR34   ,38380.0,2022SJ00
CR34   ,37850.0,2023SJ00
CR35   ,60960.0,2011SJ00
CR35   ,59720.0,2012SJ00
CR35   ,58260.0,2013SJ00
CR35   ,57090.0,2014SJ00
CR35   ,56040.0,2015SJ00
CR35   ,54940.0,2016SJ00
CR35   ,53970.0,2017SJ00
CR35   ,53440.0,2018SJ00
CR35   ,52860.0,2019SJ00
CR35   ,52300.0,2020SJ00
CR35   ,51430.0,2021SJ00
CR35   ,51530.0,2022SJ00
CR35   ,51290.0,2023SJ00
CR36   ,67160.0,2011SJ00
CR36   ,66050.0,2012SJ00
CR36   ,64940.0,2013SJ00
CR36   ,64110.0,2014SJ00
CR36   ,63300.0,2015SJ00
CR36   ,62280.0,2016SJ00
CR36   ,61530.0,2017SJ00
