RegioS,MannenEnVrouwen_4,Perioden
PV31  ,9.9,2013JJ00
PV31  ,9.8,2014JJ00
PV31  ,10.6,2015JJ00
PV31  ,10.3,2016JJ00
PV31  ,10.6,2017JJ00
PV31  ,10.7,2018JJ00
PV31  ,10.8,2019JJ00
PV31  ,12.2,2020JJ00
PV31  ,12.5,2021JJ00
PV31  ,11.6,2022JJ00
PV31  ,11.7,2023JJ00
CR01  ,10.8,1988JJ00
CR01  ,11.2,1989JJ00
CR01  ,10.8,1990JJ00
CR01  ,11.3,1991JJ00
CR01  ,11.4,1992JJ00
CR01  ,12.2,1993JJ00
CR01  ,11.2,1994JJ00
CR01  ,11.3,1995JJ00
CR01  ,11.6,1996JJ00
CR01  ,11.4,1997JJ00
CR01  ,11.3,1998JJ00
CR01  ,11.9,1999JJ00
CR01  ,11.5,2000JJ00
CR01  ,11.8,2001JJ00
CR01  ,11.3,2002JJ00
CR01  ,11.6,2003JJ00
CR01  ,10.6,2004JJ00
CR01  ,10.8,2005JJ00
CR01  ,10.8,2006JJ00
CR01  ,10.6,2007JJ00
CR01  ,11.4,2008JJ00
CR01  ,10.7,2009JJ00
CR01  ,11.4,2010JJ00
CR01  ,10.9,2011JJ00
CR01  ,11.3,2012JJ00
CR01  ,11.6,2013JJ00
CR01  ,11.1,2014JJ00
CR01  ,11.4,2015JJ00
CR01  ,12.0,2016JJ00
CR01  ,11.9,2017JJ00
CR01  ,12.6,2018JJ00
CR01  ,11.9,2019JJ00
CR01  ,12.3,2020JJ00
CR01  ,14.0,2021JJ00
CR01  ,12.9,2022JJ00
CR01  ,13.4,2023JJ00
CR02  ,9.0,1988JJ00
CR02  ,9.4,1989JJ00
CR02  ,10.1,1990JJ00
CR02  ,9.4,1991JJ00
CR02  ,10.4,1992JJ00
CR02  ,10.1,1993JJ00
CR02  ,10.3,1994JJ00
CR02  ,9.2,1995JJ00
CR02  ,10.5,1996JJ00
CR02  ,9.5,1997JJ00
CR02  ,10.5,1998JJ00
CR02  ,10.6,1999JJ00
CR02  ,10.4,2000JJ00
CR02  ,11.0,2001JJ00
CR02  ,10.5,2002JJ00
CR02  ,9.5,2003JJ00
CR02  ,10.0,2004JJ00
CR02  ,9.8,2005JJ00
CR02  ,9.5,2006JJ00
CR02  ,10.4,2007JJ00
CR02  ,10.1,2008JJ00
CR02  ,10.6,2009JJ00
CR02  ,11.2,2010JJ00
CR02  ,11.6,2011JJ00
CR02  ,11.5,2012JJ00
CR02  ,11.7,2013JJ00
CR02  ,11.7,2014JJ00
CR02  ,12.3,2015JJ00
CR02  ,12.6,2016JJ00
CR02  ,12.0,2017JJ00
CR02  ,12.4,2018JJ00
CR02  ,12.0,2019JJ00
CR02  ,12.2,2020JJ00
CR02  ,14.1,2021JJ00
CR02  ,13.0,2022JJ00
CR02  ,12.8,2023JJ00
CR03  ,9.0,1988JJ00
CR03  ,9.0,1989JJ00
CR03  ,9.1,1990JJ00
CR03  ,9.0,1991JJ00
CR03  ,8.9,1992JJ00
CR03  ,9.3,1993JJ00
CR03  ,9.2,1994JJ00
CR03  ,8.9,1995JJ00
CR03  ,9.6,1996JJ00
CR03  ,9.4,1997JJ00
CR03  ,9.2,1998JJ00
CR03  ,9.1,1999JJ00
CR03  ,8.8,2000JJ00
CR03  ,9.1,2001JJ00
