RegioS,WerkzameBeroepsbevolking_3,Perioden
CR27  ,128.0,2021JJ00
CR27  ,134.0,2022JJ00
CR27  ,138.0,2023JJ00
CR28  ,162.0,2013JJ00
CR28  ,163.0,2014JJ00
CR28  ,163.0,2015JJ00
CR28  ,165.0,2016JJ00
CR28  ,170.0,2017JJ00
CR28  ,175.0,2018JJ00
CR28  ,177.0,2019JJ00
CR28  ,178.0,2020JJ00
CR28  ,182.0,2021JJ00
CR28  ,188.0,2022JJ00
CR28  ,191.0,2023JJ00
CR29  ,668.0,2013JJ00
CR29  ,667.0,2014JJ00
CR29  ,670.0,2015JJ00
CR29  ,674.0,2016JJ00
CR29  ,698.0,2017JJ00
CR29  ,719.0,2018JJ00
CR29  ,735.0,2019JJ00
CR29  ,738.0,2020JJ00
CR29  ,757.0,2021JJ00
CR29  ,782.0,2022JJ00
CR29  ,800.0,2023JJ00
CR30  ,181.0,2013JJ00
CR30  ,180.0,2014JJ00
CR30  ,180.0,2015JJ00
CR30  ,182.0,2016JJ00
CR30  ,187.0,2017JJ00
CR30  ,190.0,2018JJ00
CR30  ,192.0,2019JJ00
CR30  ,192.0,2020JJ00
CR30  ,196.0,2021JJ00
CR30  ,201.0,2022JJ00
CR30  ,205.0,2023JJ00
CR31  ,50.0,2013JJ00
CR31  ,50.0,2014JJ00
CR31  ,51.0,2015JJ00
CR31  ,51.0,2016JJ00
CR31  ,50.0,2017JJ00
CR31  ,52.0,2018JJ00
CR31  ,51.0,2019JJ00
CR31  ,51.0,2020JJ00
CR31  ,53.0,2021JJ00
CR31  ,53.0,2022JJ00
CR31  ,54.0,2023JJ00
CR32  ,135.0,2013JJ00
CR32  ,136.0,2014JJ00
CR32  ,136.0,2015JJ00
CR32  ,139.0,2016JJ00
CR32  ,139.0,2017JJ00
CR32  ,142.0,2018JJ00
CR32  ,143.0,2019JJ00
CR32  ,143.0,2020JJ00
CR32  ,146.0,2021JJ00
CR32  ,149.0,2022JJ00
CR32  ,151.0,2023JJ00
CR33  ,317.0,2013JJ00
CR33  ,315.0,2014JJ00
CR33  ,315.0,2015JJ00
CR33  ,318.0,2016JJ00
CR33  ,324.0,2017JJ00
CR33  ,331.0,2018JJ00
CR33  ,338.0,2019JJ00
CR33  ,335.0,2020JJ00
CR33  ,340.0,2021JJ00
CR33  ,346.0,2022JJ00
CR33  ,352.0,2023JJ00
CR34  ,243.0,2013JJ00
CR34  ,241.0,2014JJ00
CR34  ,243.0,2015JJ00
CR34  ,248.0,2016JJ00
CR34  ,254.0,2017JJ00
CR34  ,258.0,2018JJ00
CR34  ,265.0,2019JJ00
CR34  ,265.0,2020JJ00
CR34  ,269.0,2021JJ00
CR34  ,275.0,2022JJ00
CR34  ,280.0,2023JJ00
CR35  ,328.0,2013JJ00
CR35  ,326.0,2014JJ00
CR35  ,328.0,2015JJ00
CR35  ,334.0,2016JJ00
CR35  ,341.0,2017JJ00
CR35  ,346.0,2018JJ00
CR35  ,355.0,2019JJ00
CR35  ,359.0,2020JJ00
CR35  ,361.0,2021JJ00
CR35  ,368.0,2022JJ00
CR35  ,374.0,2023JJ00
CR36  ,378.0,2013JJ00
CR36  ,377.0,2014JJ00
CR36  ,382.0,2015JJ00
CR36  ,389.0,2016JJ00
CR36  ,398.0,2017JJ00
CR36  ,406.0,2018JJ00
CR36  ,418.0,2019JJ00
CR36  ,418.0,2020JJ00
CR36  ,426.0,2021JJ00
CR36  ,436.0,2022JJ00
CR36  ,447.0,2023JJ00
CR37  ,142.0,2013JJ00
CR37  ,140.0,2014JJ00
CR37  ,142.0,2015JJ00
CR37  ,145.0,2016JJ00
CR37  ,147.0,2017JJ00
CR37  ,149.0,2018JJ00
CR37  ,151.0,2019JJ00
CR37  ,150.0,2020JJ00
CR37  ,151.0,2021JJ00
CR37  ,155.0,2022JJ00
