RegioS,Werkloosheidspercentage_13,Perioden
CR11  ,5.8,2017JJ00
CR11  ,5.0,2018JJ00
CR11  ,4.1,2019JJ00
CR11  ,4.6,2020JJ00
CR11  ,3.6,2021JJ00
CR11  ,3.1,2022JJ00
CR11  ,3.3,2023JJ00
CR12  ,8.5,2013JJ00
CR12  ,8.5,2014JJ00
CR12  ,8.1,2015JJ00
CR12  ,7.6,2016JJ00
CR12  ,6.2,2017JJ00
CR12  ,4.9,2018JJ00
CR12  ,4.3,2019JJ00
CR12  ,4.7,2020JJ00
CR12  ,3.9,2021JJ00
CR12  ,3.3,2022JJ00
CR12  ,3.4,2023JJ00
CR13  ,7.0,2013JJ00
CR13  ,7.2,2014JJ00
CR13  ,6.7,2015JJ00
CR13  ,6.2,2016JJ00
CR13  ,5.1,2017JJ00
CR13  ,4.3,2018JJ00
CR13  ,3.8,2019JJ00
CR13  ,4.3,2020JJ00
CR13  ,3.4,2021JJ00
CR13  ,3.1,2022JJ00
CR13  ,3.0,2023JJ00
CR14  ,7.4,2013JJ00
CR14  ,7.8,2014JJ00
CR14  ,7.2,2015JJ00
CR14  ,6.4,2016JJ00
CR14  ,5.4,2017JJ00
CR14  ,4.4,2018JJ00
CR14  ,3.8,2019JJ00
CR14  ,4.2,2020JJ00
CR14  ,3.4,2021JJ00
CR14  ,3.0,2022JJ00
CR14  ,3.0,2023JJ00
CR15  ,8.5,2013JJ00
CR15  ,8.8,2014JJ00
CR15  ,8.3,2015JJ00
CR15  ,7.3,2016JJ00
CR15  ,6.0,2017JJ00
CR15  ,5.1,2018JJ00
CR15  ,4.5,2019JJ00
CR15  ,4.9,2020JJ00
CR15  ,4.5,2021JJ00
CR15  ,3.7,2022JJ00
CR15  ,3.5,2023JJ00
CR16  ,7.2,2013JJ00
CR16  ,7.4,2014JJ00
CR16  ,6.8,2015JJ00
CR16  ,6.0,2016JJ00
CR16  ,5.0,2017JJ00
CR16  ,4.2,2018JJ00
CR16  ,3.8,2019JJ00
CR16  ,4.2,2020JJ00
CR16  ,3.4,2021JJ00
CR16  ,3.0,2022JJ00
CR16  ,3.0,2023JJ00
CR17  ,7.4,2013JJ00
CR17  ,7.5,2014JJ00
CR17  ,7.3,2015JJ00
CR17  ,6.2,2016JJ00
CR17  ,5.3,2017JJ00
CR17  ,4.5,2018JJ00
CR17  ,4.0,2019JJ00
CR17  ,4.4,2020JJ00
CR17  ,3.9,2021JJ00
CR17  ,3.3,2022JJ00
CR17  ,3.4,2023JJ00
CR18  ,7.2,2013JJ00
CR18  ,7.4,2014JJ00
CR18  ,6.7,2015JJ00
CR18  ,6.1,2016JJ00
CR18  ,5.3,2017JJ00
CR18  ,4.4,2018JJ00
CR18  ,3.9,2019JJ00
CR18  ,4.3,2020JJ00
CR18  ,3.5,2021JJ00
CR18  ,3.1,2022JJ00
CR18  ,3.1,2023JJ00
CR19  ,7.5,2013JJ00
CR19  ,7.5,2014JJ00
CR19  ,6.7,2015JJ00
CR19  ,6.0,2016JJ00
CR19  ,5.3,2017JJ00
CR19  ,4.5,2018JJ00
CR19  ,4.0,2019JJ00
CR19  ,4.4,2020JJ00
CR19  ,3.6,2021JJ00
CR19  ,3.1,2022JJ00
CR19  ,3.2,2023JJ00
CR20  ,6.9,2013JJ00
CR20  ,7.3,2014JJ00
CR20  ,6.7,2015JJ00
CR20  ,6.0,2016JJ00
CR20  ,5.2,2017JJ00
CR20  ,4.3,2018JJ00
CR20  ,3.9,2019JJ00
CR20  ,4.4,2020JJ00
CR20  ,3.7,2021JJ00
CR20  ,3.2,2022JJ00
CR20  ,3.2,2023JJ00
CR21  ,7.8,2013JJ00
CR21  ,7.4,2014JJ00
CR21  ,7.3,2015JJ00
CR21  ,6.3,2016JJ00
CR21  ,5.7,2017JJ00
CR21  ,4.6,2018JJ00
CR21  ,4.3,2019JJ00
CR21  ,4.8,2020JJ00
CR21  ,4.0,2021JJ00
CR21  ,3.5,2022JJ00
CR21  ,3.6,2023JJ00
CR22  ,8.5,2013JJ00
CR22  ,8.7,2014JJ00
CR22  ,7.8,2015JJ00
CR22  ,7.2,2016JJ00
CR22  ,5.9,2017JJ00
CR22  ,5.1,2018JJ00
CR22  ,4.4,2019JJ00
CR22  ,5.0,2020JJ00
CR22  ,4.6,2021JJ00
CR22  ,3.6,2022JJ00
CR22  ,3.6,2023JJ00
CR23  ,9.0,2013JJ00
CR23  ,8.7,2014JJ00
CR23  ,8.1,2015JJ00
CR23  ,7.1,2016JJ00
CR23  ,6.2,2017JJ00
CR23  ,5.4,2018JJ00
CR23  ,4.8,2019JJ00
CR23  ,5.8,2020JJ00
CR23  ,5.8,2021JJ00
CR23  ,4.3,2022JJ00
CR23  ,4.5,2023JJ00
CR24  ,7.5,2013JJ00
CR24  ,7.8,2014JJ00
CR24  ,7.2,2015JJ00
CR24  ,6.4,2016JJ00
CR24  ,5.5,2017JJ00
CR24  ,4.7,2018JJ00
CR24  ,4.1,2019JJ00
CR24  ,4.6,2020JJ00
CR24  ,3.9,2021JJ00
CR24  ,3.3,2022JJ00
CR24  ,3.3,2023JJ00
CR25  ,7.2,2013JJ00
CR25  ,7.1,2014JJ00
CR25  ,6.6,2015JJ00
CR25  ,6.2,2016JJ00
CR25  ,5.3,2017JJ00
CR25  ,4.4,2018JJ00
CR25  ,4.1,2019JJ00
CR25  ,4.5,2020JJ00
CR25  ,3.8,2021JJ00
CR25  ,3.3,2022JJ00
CR25  ,3.3,2023JJ00
CR26  ,9.8,2013JJ00
CR26  ,10.4,2014JJ00
CR26  ,9.9,2015JJ00
CR26  ,8.8,2016JJ00
CR26  ,7.4,2017JJ00
CR26  ,5.7,2018JJ00
CR26  ,5.5,2019JJ00
CR26  ,5.9,2020JJ00
CR26  ,5.5,2021JJ00
CR26  ,4.3,2022JJ00
CR26  ,4.2,2023JJ00
CR27  ,7.6,2013JJ00
CR27  ,7.7,2014JJ00
CR27  ,7.1,2015JJ00
CR27  ,6.5,2016JJ00
CR27  ,5.5,2017JJ00
CR27  ,4.7,2018JJ00
CR27  ,4.3,2019JJ00
CR27  ,4.6,2020JJ00
CR27  ,4.3,2021JJ00
CR27  ,3.5,2022JJ00
CR27  ,3.5,2023JJ00
CR28  ,7.1,2013JJ00
CR28  ,7.1,2014JJ00
CR28  ,6.9,2015JJ00
CR28  ,6.3,2016JJ00
CR28  ,5.1,2017JJ00
CR28  ,4.2,2018JJ00
CR28  ,4.0,2019JJ00
CR28  ,4.4,2020JJ00
CR28  ,3.6,2021JJ00
CR28  ,3.1,2022JJ00
CR28  ,3.0,2023JJ00
CR29  ,10.1,2013JJ00
CR29  ,10.3,2014JJ00
CR29  ,9.9,2015JJ00
CR29  ,9.1,2016JJ00
CR29  ,7.2,2017JJ00
CR29  ,5.8,2018JJ00
CR29  ,5.5,2019JJ00
CR29  ,5.6,2020JJ00
CR29  ,5.5,2021JJ00
CR29  ,4.3,2022JJ00
CR29  ,4.2,2023JJ00
CR30  ,7.6,2013JJ00
CR30  ,7.7,2014JJ00
CR30  ,7.2,2015JJ00
CR30  ,6.4,2016JJ00
CR30  ,5.4,2017JJ00
CR30  ,4.7,2018JJ00
CR30  ,4.3,2019JJ00
CR30  ,4.7,2020JJ00
CR30  ,4.0,2021JJ00
CR30  ,3.3,2022JJ00
CR30  ,3.3,2023JJ00
CR31  ,7.0,2013JJ00
CR31  ,6.6,2014JJ00
CR31  ,6.8,2015JJ00
CR31  ,5.6,2016JJ00
CR31  ,4.8,2017JJ00
CR31  ,4.1,2018JJ00
CR31  ,3.9,2019JJ00
CR31  ,4.2,2020JJ00
CR31  ,3.6,2021JJ00
CR31  ,3.0,2022JJ00
CR31  ,2.9,2023JJ00
CR32  ,6.8,2013JJ00
CR32  ,6.4,2014JJ00
CR32  ,6.5,2015JJ00
CR32  ,5.4,2016JJ00
CR32  ,4.8,2017JJ00
CR32  ,4.1,2018JJ00
CR32  ,3.9,2019JJ00
CR32  ,4.1,2020JJ00
CR32  ,3.6,2021JJ00
CR32  ,2.9,2022JJ00
CR32  ,2.8,2023JJ00
CR33  ,7.7,2013JJ00
CR33  ,7.9,2014JJ00
CR33  ,7.7,2015JJ00
CR33  ,6.7,2016JJ00
CR33  ,5.5,2017JJ00
CR33  ,4.6,2018JJ00
CR33  ,4.3,2019JJ00
CR33  ,4.6,2020JJ00
CR33  ,3.6,2021JJ00
CR33  ,3.3,2022JJ00
CR33  ,3.3,2023JJ00
CR34  ,7.8,2013JJ00
CR34  ,8.0,2014JJ00
CR34  ,7.7,2015JJ00
CR34  ,6.5,2016JJ00
CR34  ,5.4,2017JJ00
CR34  ,4.4,2018JJ00
CR34  ,4.3,2019JJ00
CR34  ,4.5,2020JJ00
CR34  ,3.4,2021JJ00
CR34  ,3.3,2022JJ00
CR34  ,3.4,2023JJ00
CR35  ,7.2,2013JJ00
CR35  ,7.6,2014JJ00
CR35  ,7.1,2015JJ00
CR35  ,6.1,2016JJ00
CR35  ,5.2,2017JJ00
CR35  ,4.3,2018JJ00
CR35  ,3.9,2019JJ00
CR35  ,4.2,2020JJ00
CR35  ,3.2,2021JJ00
CR35  ,3.0,2022JJ00
CR35  ,3.0,2023JJ00
CR36  ,7.8,2013JJ00
CR36  ,8.2,2014JJ00
CR36  ,7.6,2015JJ00
CR36  ,6.6,2016JJ00
CR36  ,5.4,2017JJ00
CR36  ,4.6,2018JJ00
CR36  ,4.3,2019JJ00
CR36  ,4.7,2020JJ00
CR36  ,3.8,2021JJ00
CR36  ,3.3,2022JJ00
CR36  ,3.4,2023JJ00
CR37  ,7.6,2013JJ00
CR37  ,8.0,2014JJ00
CR37  ,7.3,2015JJ00
CR37  ,6.1,2016JJ00
CR37  ,5.4,2017JJ00
CR37  ,4.4,2018JJ00
CR37  ,3.9,2019JJ00
CR37  ,4.6,2020JJ00
CR37  ,3.5,2021JJ00
CR37  ,3.4,2022JJ00
CR37  ,3.2,2023JJ00
CR38  ,7.4,2013JJ00
CR38  ,7.3,2014JJ00
CR38  ,6.9,2015JJ00
CR38  ,6.2,2016JJ00
CR38  ,5.4,2017JJ00
CR38  ,4.5,2018JJ00
CR38  ,4.0,2019JJ00
CR38  ,4.6,2020JJ00
CR38  ,3.6,2021JJ00
CR38  ,3.3,2022JJ00
CR38  ,3.3,2023JJ00
CR39  ,8.6,2013JJ00
CR39  ,8.6,2014JJ00
CR39  ,8.0,2015JJ00
CR39  ,6.9,2016JJ00
CR39  ,6.0,2017JJ00
CR39  ,5.0,2018JJ00
CR39  ,4.6,2019JJ00
CR39  ,5.1,2020JJ00
CR39  ,4.0,2021JJ00
CR39  ,3.8,2022JJ00
CR39  ,3.6,2023JJ00
CR40  ,10.0,2013JJ00
CR40  ,10.4,2014JJ00
CR40  ,8.6,2015JJ00
CR40  ,8.2,2016JJ00
CR40  ,6.6,2017JJ00
CR40  ,5.2,2018JJ00
CR40  ,4.6,2019JJ00
CR40  ,5.0,2020JJ00
CR40  ,4.8,2021JJ00
CR40  ,3.7,2022JJ00
CR40  ,3.7,2023JJ00
GM1680,7.2,2013JJ00
GM1680,7.5,2014JJ00
GM1680,7.1,2015JJ00
GM1680,6.3,2016JJ00
GM1680,5.5,2017JJ00
GM1680,4.3,2018JJ00
GM1680,3.7,2019JJ00
GM1680,4.2,2020JJ00
GM1680,3.4,2021JJ00
GM1680,3.0,2022JJ00
GM1680,2.7,2023JJ00
GM0358,6.7,2013JJ00
GM0358,6.5,2014JJ00
GM0358,6.2,2015JJ00
GM0358,5.7,2016JJ00
GM0358,4.5,2017JJ00
GM0358,3.7,2018JJ00
GM0358,3.5,2019JJ00
GM0358,4.2,2020JJ00
GM0358,3.8,2021JJ00
GM0358,3.0,2022JJ00
GM0358,3.1,2023JJ00
GM0197,6.4,2013JJ00
GM0197,6.9,2014JJ00
GM0197,6.2,2015JJ00
GM0197,5.6,2016JJ00
GM0197,4.8,2017JJ00
GM0197,3.9,2018JJ00
GM0197,3.5,2019JJ00
GM0197,3.7,2020JJ00
GM0197,2.9,2021JJ00
GM0197,2.8,2022JJ00
GM0197,2.7,2023JJ00
GM0059,8.7,2013JJ00
GM0059,9.4,2014JJ00
GM0059,8.2,2015JJ00
GM0059,7.0,2016JJ00
GM0059,5.6,2017JJ00
GM0059,4.7,2018JJ00
GM0059,4.2,2019JJ00
GM0059,4.6,2020JJ00
GM0059,3.9,2021JJ00
GM0059,3.2,2022JJ00
GM0059,3.2,2023JJ00
GM0482,6.6,2013JJ00
GM0482,6.7,2014JJ00
GM0482,6.2,2015JJ00
GM0482,5.7,2016JJ00
GM0482,5.1,2017JJ00
GM0482,4.3,2018JJ00
GM0482,3.9,2019JJ00
GM0482,4.5,2020JJ00
GM0482,3.7,2021JJ00
GM0482,3.1,2022JJ00
GM0482,3.1,2023JJ00
GM0613,7.0,2013JJ00
GM0613,7.1,2014JJ00
GM0613,6.7,2015JJ00
GM0613,5.7,2016JJ00
GM0613,4.9,2017JJ00
GM0613,3.9,2018JJ00
GM0613,3.8,2019JJ00
GM0613,4.2,2020JJ00
GM0613,3.6,2021JJ00
GM0613,3.0,2022JJ00
GM0613,3.0,2023JJ00
GM0361,7.9,2013JJ00
GM0361,7.8,2014JJ00
GM0361,7.0,2015JJ00
GM0361,6.4,2016JJ00
GM0361,5.7,2017JJ00
GM0361,4.7,2018JJ00
GM0361,4.2,2019JJ00
GM0361,4.6,2020JJ00
GM0361,3.8,2021JJ00
GM0361,3.3,2022JJ00
GM0361,3.4,2023JJ00
GM0141,10.0,2013JJ00
GM0141,10.7,2014JJ00
GM0141,10.7,2015JJ00
GM0141,9.3,2016JJ00
GM0141,7.5,2017JJ00
GM0141,5.8,2018JJ00
GM0141,4.7,2019JJ00
GM0141,5.4,2020JJ00
GM0141,4.8,2021JJ00
GM0141,3.8,2022JJ00
GM0141,4.0,2023JJ00
GM0034,11.3,2013JJ00
GM0034,11.8,2014JJ00
GM0034,9.6,2015JJ00
GM0034,9.4,2016JJ00
GM0034,7.1,2017JJ00
GM0034,5.7,2018JJ00
GM0034,5.0,2019JJ00
GM0034,5.5,2020JJ00
GM0034,5.7,2021JJ00
GM0034,4.1,2022JJ00
GM0034,4.1,2023JJ00
GM0484,6.8,2013JJ00
GM0484,6.8,2014JJ00
GM0484,6.5,2015JJ00
GM0484,6.3,2016JJ00
GM0484,5.0,2017JJ00
GM0484,4.2,2018JJ00
GM0484,4.0,2019JJ00
GM0484,4.6,2020JJ00
GM0484,3.7,2021JJ00
GM0484,3.1,2022JJ00
GM0484,3.0,2023JJ00
GM1723,6.2,2013JJ00
