Regiokenmerken,VoortijdigSchoolverlaters_2,Perioden
GM0202 ,370.0,2015SJ00
GM0202 ,340.0,2016SJ00
GM0202 ,370.0,2017SJ00
GM0202 ,380.0,2018SJ00
GM0202 ,340.0,2019SJ00
GM0202 ,350.0,2020SJ00
GM0202 ,440.0,2021SJ00
GM0202 ,410.0,2022SJ00
GM0106 ,170.0,2012SJ00
GM0106 ,100.0,2013SJ00
GM0106 ,90.0,2014SJ00
GM0106 ,90.0,2015SJ00
GM0106 ,110.0,2016SJ00
GM0106 ,100.0,2017SJ00
GM0106 ,120.0,2018SJ00
GM0106 ,110.0,2019SJ00
GM0106 ,150.0,2020SJ00
GM0106 ,140.0,2021SJ00
GM0106 ,180.0,2022SJ00
GM0743 ,20.0,2012SJ00
GM0743 ,20.0,2013SJ00
GM0743 ,30.0,2014SJ00
GM0743 ,30.0,2015SJ00
GM0743 ,10.0,2016SJ00
GM0743 ,10.0,2017SJ00
GM0743 ,20.0,2018SJ00
GM0743 ,20.0,2019SJ00
GM0743 ,20.0,2020SJ00
GM0743 ,20.0,2021SJ00
GM0743 ,20.0,2022SJ00
GM0744 ,10.0,2012SJ00
GM0744 ,10.0,2013SJ00
GM0744 ,0.0,2014SJ00
GM0744 ,10.0,2015SJ00
GM0744 ,10.0,2016SJ00
GM0744 ,10.0,2017SJ00
GM0744 ,10.0,2018SJ00
GM0744 ,10.0,2019SJ00
GM0744 ,10.0,2020SJ00
GM0744 ,10.0,2021SJ00
GM0744 ,10.0,2022SJ00
GM0308 ,40.0,2012SJ00
GM0308 ,50.0,2013SJ00
GM0308 ,20.0,2014SJ00
GM0308 ,40.0,2015SJ00
GM0308 ,40.0,2016SJ00
GM0308 ,60.0,2017SJ00
GM0308 ,50.0,2018SJ00
GM0308 ,30.0,2019SJ00
GM0308 ,40.0,2020SJ00
GM0308 ,40.0,2021SJ00
GM0308 ,40.0,2022SJ00
GM0489 ,80.0,2012SJ00
GM0489 ,90.0,2013SJ00
GM0489 ,70.0,2014SJ00
GM0489 ,90.0,2015SJ00
GM0489 ,80.0,2016SJ00
GM0489 ,90.0,2017SJ00
GM0489 ,100.0,2018SJ00
GM0489 ,80.0,2019SJ00
GM0489 ,90.0,2020SJ00
GM0489 ,110.0,2021SJ00
GM0489 ,90.0,2022SJ00
GM0203 ,100.0,2012SJ00
GM0203 ,90.0,2013SJ00
GM0203 ,110.0,2014SJ00
GM0203 ,100.0,2015SJ00
GM0203 ,110.0,2016SJ00
GM0203 ,110.0,2017SJ00
GM0203 ,110.0,2018SJ00
GM0203 ,100.0,2019SJ00
GM0203 ,110.0,2020SJ00
GM0203 ,120.0,2021SJ00
GM0203 ,120.0,2022SJ00
GM0005 ,20.0,2012SJ00
GM0005 ,20.0,2013SJ00
GM0005 ,10.0,2014SJ00
GM0005 ,10.0,2015SJ00
GM0005 ,10.0,2016SJ00
GM0005 ,20.0,2017SJ00
