ID,Value,Year
CR04,12.5,1990
CR04,12.9,1991
CR04,12.8,1992
CR04,12.9,1993
CR04,12.3,1994
CR04,12.4,1995
CR04,12.2,1996
CR04,12.0,1997
CR04,12.3,1998
CR04,12.4,1999
CR04,12.4,2000
CR04,12.5,2001
CR04,12.6,2002
CR04,12.5,2003
CR04,12.0,2004
CR04,11.6,2005
CR04,11.3,2006
CR04,11.1,2007
CR04,11.2,2008
CR04,11.3,2009
CR04,11.1,2010
CR04,10.3,2011
CR04,10.5,2012
CR04,9.9,2013
CR04,10.0,2014
CR04,9.5,2015
CR04,9.6,2016
CR04,9.6,2017
CR04,9.2,2018
CR04,9.3,2019
CR04,9.0,2020
CR04,10.0,2021
CR04,9.0,2022
CR05,12.8,1988
CR05,13.3,1989
CR05,12.8,1990
CR05,13.7,1991
CR05,13.2,1992
CR05,12.5,1993
CR05,12.5,1994
CR05,12.7,1995
CR05,12.4,1996
CR05,13.3,1997
CR05,12.7,1998
CR05,13.2,1999
CR05,13.9,2000
CR05,13.1,2001
CR05,12.9,2002
CR05,13.0,2003
CR05,12.3,2004
CR05,11.8,2005
CR05,11.5,2006
CR05,11.4,2007
CR05,10.6,2008
CR05,11.6,2009
CR05,10.3,2010
CR05,10.8,2011
CR05,9.8,2012
CR05,9.9,2013
CR05,9.0,2014
CR05,8.8,2015
CR05,9.4,2016
CR05,8.7,2017
CR05,8.6,2018
CR05,9.3,2019
CR05,9.1,2020
CR05,9.4,2021
CR05,8.6,2022
CR06,12.1,1988
CR06,12.3,1989
CR06,12.3,1990
CR06,13.0,1991
CR06,11.9,1992
CR06,12.0,1993
CR06,12.2,1994
CR06,12.1,1995
CR06,11.8,1996
CR06,12.0,1997
CR06,12.6,1998
CR06,12.3,1999
CR06,12.7,2000
CR06,12.2,2001
CR06,12.2,2002
CR06,11.8,2003
CR06,11.1,2004
CR06,11.1,2005
CR06,11.0,2006
CR06,10.6,2007
CR06,10.6,2008
CR06,10.2,2009
CR06,10.7,2010
CR06,10.0,2011
CR06,9.5,2012
CR06,9.3,2013
CR06,9.9,2014
CR06,9.3,2015
CR06,8.7,2016
CR06,9.0,2017
CR06,8.7,2018
CR06,8.8,2019
CR06,8.8,2020
CR06,9.4,2021
CR06,8.6,2022
CR07,12.0,1988
CR07,11.4,1989
CR07,12.4,1990
CR07,12.8,1991
CR07,11.8,1992
CR07,12.6,1993
CR07,11.6,1994
CR07,11.8,1995
CR07,11.5,1996
CR07,11.5,1997
CR07,12.2,1998
CR07,12.1,1999
CR07,12.1,2000
CR07,12.1,2001
CR07,12.1,2002
CR07,11.6,2003
CR07,10.8,2004
CR07,10.6,2005
CR07,10.3,2006
CR07,9.9,2007
CR07,10.1,2008
CR07,9.7,2009
CR07,9.4,2010
CR07,8.9,2011
CR07,8.9,2012
CR07,8.3,2013
CR07,8.6,2014
CR07,7.9,2015
CR07,8.4,2016
CR07,8.3,2017
CR07,8.2,2018
CR07,8.0,2019
CR07,8.3,2020
CR07,8.9,2021
CR07,8.1,2022
CR08,11.5,1988
CR08,11.5,1989
CR08,11.8,1990
CR08,11.5,1991
CR08,11.5,1992
CR08,11.2,1993
CR08,11.2,1994
CR08,11.4,1995
CR08,11.1,1996
CR08,11.7,1997
CR08,11.7,1998
CR08,12.1,1999
CR08,11.8,2000
CR08,11.9,2001
CR08,11.7,2002
CR08,10.9,2003
CR08,10.5,2004
CR08,10.0,2005
CR08,10.1,2006
CR08,9.5,2007
CR08,9.4,2008
CR08,10.2,2009
CR08,9.2,2010
CR08,9.4,2011
CR08,8.6,2012
CR08,8.3,2013
CR08,8.3,2014
CR08,7.9,2015
CR08,8.4,2016
CR08,8.1,2017
CR08,7.7,2018
CR08,8.3,2019
CR08,8.1,2020
CR08,8.6,2021
CR08,8.0,2022
CR09,12.4,1988
CR09,11.9,1989
