RegioS,k_45JaarOfOuder_15,Perioden
PV25  ,39.0,2023JJ00
PV26  ,32.0,1988JJ00
PV26  ,33.0,1989JJ00
PV26  ,46.0,1990JJ00
PV26  ,38.0,1991JJ00
PV26  ,35.0,1992JJ00
PV26  ,25.0,1993JJ00
PV26  ,20.0,1994JJ00
PV26  ,25.0,1995JJ00
PV26  ,28.0,1996JJ00
PV26  ,17.0,1997JJ00
PV26  ,13.0,1998JJ00
PV26  ,7.0,1999JJ00
PV26  ,13.0,2000JJ00
PV26  ,15.0,2001JJ00
PV26  ,25.0,2002JJ00
PV26  ,23.0,2003JJ00
PV26  ,16.0,2004JJ00
PV26  ,16.0,2005JJ00
PV26  ,15.0,2006JJ00
PV26  ,22.0,2007JJ00
PV26  ,24.0,2008JJ00
PV26  ,32.0,2009JJ00
PV26  ,31.0,2010JJ00
PV26  ,39.0,2011JJ00
PV26  ,32.0,2012JJ00
PV26  ,31.0,2013JJ00
PV26  ,32.0,2014JJ00
PV26  ,32.0,2015JJ00
PV26  ,42.0,2016JJ00
PV26  ,41.0,2017JJ00
PV26  ,44.0,2018JJ00
PV26  ,38.0,2019JJ00
PV26  ,39.0,2020JJ00
PV26  ,42.0,2021JJ00
PV26  ,33.0,2022JJ00
PV26  ,47.0,2023JJ00
PV27  ,40.0,1988JJ00
PV27  ,43.0,1989JJ00
PV27  ,35.0,1990JJ00
PV27  ,53.0,1991JJ00
PV27  ,53.0,1992JJ00
PV27  ,56.0,1993JJ00
PV27  ,54.0,1994JJ00
PV27  ,36.0,1995JJ00
PV27  ,42.0,1996JJ00
PV27  ,35.0,1997JJ00
PV27  ,36.0,1998JJ00
PV27  ,43.0,1999JJ00
PV27  ,35.0,2000JJ00
PV27  ,41.0,2001JJ00
PV27  ,46.0,2002JJ00
PV27  ,56.0,2003JJ00
PV27  ,45.0,2004JJ00
PV27  ,65.0,2005JJ00
PV27  ,55.0,2006JJ00
PV27  ,61.0,2007JJ00
PV27  ,71.0,2008JJ00
PV27  ,75.0,2009JJ00
PV27  ,71.0,2010JJ00
PV27  ,86.0,2011JJ00
PV27  ,100.0,2012JJ00
PV27  ,106.0,2013JJ00
PV27  ,81.0,2014JJ00
PV27  ,94.0,2015JJ00
PV27  ,90.0,2016JJ00
PV27  ,120.0,2017JJ00
PV27  ,118.0,2018JJ00
PV27  ,130.0,2019JJ00
PV27  ,106.0,2020JJ00
PV27  ,106.0,2021JJ00
PV27  ,103.0,2022JJ00
PV27  ,123.0,2023JJ00
PV28  ,58.0,1988JJ00
PV28  ,68.0,1989JJ00
PV28  ,72.0,1990JJ00
PV28  ,60.0,1991JJ00
PV28  ,71.0,1992JJ00
PV28  ,59.0,1993JJ00
PV28  ,52.0,1994JJ00
PV28  ,41.0,1995JJ00
PV28  ,49.0,1996JJ00
PV28  ,45.0,1997JJ00
PV28  ,48.0,1998JJ00
