RegioS,k_40Tot45Jaar_14,Perioden
PV27  ,1412.0,2005JJ00
PV27  ,1410.0,2006JJ00
PV27  ,1466.0,2007JJ00
PV27  ,1520.0,2008JJ00
PV27  ,1726.0,2009JJ00
PV27  ,1789.0,2010JJ00
PV27  ,1729.0,2011JJ00
PV27  ,1680.0,2012JJ00
PV27  ,1617.0,2013JJ00
PV27  ,1606.0,2014JJ00
PV27  ,1605.0,2015JJ00
PV27  ,1714.0,2016JJ00
PV27  ,1714.0,2017JJ00
PV27  ,1724.0,2018JJ00
PV27  ,1679.0,2019JJ00
PV27  ,1766.0,2020JJ00
PV27  ,1844.0,2021JJ00
PV27  ,1717.0,2022JJ00
PV27  ,1755.0,2023JJ00
PV28  ,628.0,1988JJ00
PV28  ,655.0,1989JJ00
PV28  ,697.0,1990JJ00
PV28  ,773.0,1991JJ00
PV28  ,768.0,1992JJ00
PV28  ,845.0,1993JJ00
PV28  ,842.0,1994JJ00
PV28  ,849.0,1995JJ00
PV28  ,934.0,1996JJ00
PV28  ,984.0,1997JJ00
PV28  ,1071.0,1998JJ00
PV28  ,1139.0,1999JJ00
PV28  ,1165.0,2000JJ00
PV28  ,1203.0,2001JJ00
PV28  ,1333.0,2002JJ00
PV28  ,1368.0,2003JJ00
PV28  ,1464.0,2004JJ00
PV28  ,1485.0,2005JJ00
PV28  ,1489.0,2006JJ00
PV28  ,1479.0,2007JJ00
PV28  ,1614.0,2008JJ00
PV28  ,1640.0,2009JJ00
PV28  ,1800.0,2010JJ00
PV28  ,1750.0,2011JJ00
PV28  ,1755.0,2012JJ00
PV28  ,1657.0,2013JJ00
PV28  ,1752.0,2014JJ00
PV28  ,1696.0,2015JJ00
PV28  ,1715.0,2016JJ00
PV28  ,1719.0,2017JJ00
PV28  ,1749.0,2018JJ00
PV28  ,1940.0,2019JJ00
PV28  ,1915.0,2020JJ00
PV28  ,2017.0,2021JJ00
PV28  ,1873.0,2022JJ00
PV28  ,1964.0,2023JJ00
PV29  ,73.0,1988JJ00
PV29  ,54.0,1989JJ00
PV29  ,64.0,1990JJ00
PV29  ,72.0,1991JJ00
PV29  ,75.0,1992JJ00
PV29  ,71.0,1993JJ00
PV29  ,97.0,1994JJ00
PV29  ,75.0,1995JJ00
PV29  ,75.0,1996JJ00
PV29  ,77.0,1997JJ00
PV29  ,71.0,1998JJ00
PV29  ,96.0,1999JJ00
PV29  ,95.0,2000JJ00
PV29  ,93.0,2001JJ00
PV29  ,86.0,2002JJ00
PV29  ,95.0,2003JJ00
PV29  ,120.0,2004JJ00
PV29  ,102.0,2005JJ00
PV29  ,114.0,2006JJ00
PV29  ,122.0,2007JJ00
PV29  ,130.0,2008JJ00
PV29  ,135.0,2009JJ00
PV29  ,120.0,2010JJ00
PV29  ,120.0,2011JJ00
PV29  ,121.0,2012JJ00
PV29  ,129.0,2013JJ00
PV29  ,119.0,2014JJ00
PV29  ,113.0,2015JJ00
PV29  ,113.0,2016JJ00
PV29  ,109.0,2017JJ00
PV29  ,109.0,2018JJ00
PV29  ,121.0,2019JJ00
